Site Identifier,Site Type,LAT Trimmed,LON Trimmed
433,Openserve Property,-27,30.01
208,Openserve Property,-29.86,30.97
10784,Openserve Property,-30.96,29.3
4249,Openserve Property,-27.8,28.43
960,Openserve Property,-26.34,28.15
679,Openserve Property,-33.95,18.38
326,Openserve Property,-30.85,30.35
368,Openserve Property,-29.96,30.89
10570,Openserve Property,-24.51,29.78
1752,Openserve Property,-26.66,27.97
9029,Openserve Property,-26.02,28.17
4416,Openserve Property,-26.12,28.46
559,Openserve Property,-27.98,26.77
1691,Openserve Property,-24.7,28.41
1580,Openserve Property,-26.15,28.68
63,Openserve Property,-33.98,25.55
537,Openserve Property,-27.66,27.23
883,Openserve Property,-26.24,27.99
1417,Openserve Property,-25.83,28.2
2176,Openserve Property,-33.93,18.55
5032,Openserve Property,-25.7,28.24
147,Openserve Property,-33.59,22.2
994,Openserve Property,-26.25,28.4
808,Openserve Property,-33.01,18.99
837,Openserve Property,-29.67,17.88
912,Openserve Property,-26.03,28.16
10997,Openserve Property,-32.83,27.2
1613,Openserve Property,-25,29.01
694,Openserve Property,-33.37,19.31
1050,Openserve Property,-26.16,27.82
1917,Openserve Property,-29.02,26.01
1839,Openserve Property,-29.01,29.02
11500,Openserve Property,-25.91,25.68
873,Openserve Property,-33.64,19
328,Openserve Property,-30.34,28.81
1768,Openserve Property,-26.32,26.83
1654,Openserve Property,-25.71,28.19
120,Openserve Property,-34.04,23.05
1727,Openserve Property,-26.82,27.83
663,Openserve Property,-33.8,18.46
