Site Identifier,Site Type,LAT Trimmed,LON Trimmed,Formatted_Address,City,Suburb,Postcode
1411,Openserve Property,-25.64,31.29,"Street, Umjindi Nu, South Africa",Umjindi Nu,N/A,
21549,Openserve Property,-24.7,29.75,"unnamed road, Makadikwe, Makhuduthamaga Local Municipality, South Africa",Makhuduthamaga Local Municipality,Makadikwe,N/A
1329,Openserve Property,-26.04,29.33,"unnamed road, Springbok, Emalahleni Local Municipality, 1451, South Africa",Emalahleni Local Municipality,Springbok,1451
1569,Openserve Property,-26.66,29.18,"Charl Cilliers, South Africa",Charl Cilliers,N/A,
24901,Openserve Property,-28.64,28.96,"D119, Okhahlamba Ward 10, Okhahlamba Local Municipality, South Africa",Okhahlamba Local Municipality,Okhahlamba Ward 10,N/A
5732,Openserve Property,-26.68,28.01,"unnamed road, Emfuleni Ward 1, Emfuleni Local Municipality, 1935, South Africa",Emfuleni Local Municipality,N/A,1935
6271,Openserve Property,-26.49,29.35,"Govan Mbeki Nu, South Africa",Govan Mbeki Nu,N/A,
24423,Openserve Property,-25.29,29.08,"Dipasana, South Africa",Dipasana,N/A,
46239,Openserve Property,-30.32,28.39,"unnamed road, Ditichereng, Matatiele Local Municipality, South Africa",Matatiele Local Municipality,Ditichereng,N/A
1064,Openserve Property,-27.82,23.91,"Street, Dikgatlong Nu, South Africa",Dikgatlong Nu,N/A,
246,Openserve Property,-29.69,30.09,"Kwamncane, South Africa",Kwamncane,N/A,
5857,Openserve Property,-27.2,20.51,"Mier Ward 2, Mier Local Municipality, ZF Mgcawu District Municipality, South Africa",Mier Local Municipality,Mier Ward 2,N/A
3723,Openserve Property,-27.56,32.08,"Unknown Street, Ubombo, South Africa",Ubombo,N/A,
14251,Openserve Property,-30.35,29.85,"Street, Umzimkhulu Nu, South Africa",Umzimkhulu Nu,N/A,
360,Openserve Property,-28.62,31.09,"Nkandla, South Africa",Nkandla,N/A,
5820,Openserve Property,-25.45,28.05,"unnamed road, Tshwane Ward 24, Gauteng, 0202, South Africa",N/A,Tshwane Ward 24,0202
1841,Openserve Property,-28.42,32.18,"Celtis Drive, Mtubatuba Ward 6, Mtubatuba Local Municipality, 3935, South Africa",Mtubatuba Local Municipality,Mtubatuba Ward 6,3935
35444,Openserve Property,-24.64,26.4,"Ramotshere Moiloa Nu, South Africa",Ramotshere Moiloa Nu,N/A,
17981,Openserve Property,-29.88,30.92,"4 Purity Lane, Queensburgh, South Africa",Queensburgh,N/A,
26327,Openserve Property,-23.8,29.35,"Perskebult, South Africa",Perskebult,N/A,
3761,Openserve Property,-23.31,30.3,"unnamed road, Makhado Ward 5, Makhado Local Municipality, 8450, South Africa",Makhado Local Municipality,Makhado Ward 5,8450
5776,Openserve Property,-26.5,25.37,"140 Street, Atamelang, South Africa",Atamelang,N/A,
15844,Openserve Property,-24.39,29.29,"D3605, Lepelle-Nkumpi Ward 11, Lepelle-Nkumpi Local Municipality, South Africa",Lepelle-Nkumpi Local Municipality,Lepelle-Nkumpi Ward 11,N/A
918,Openserve Property,-25.94,27.99,"unnamed road, Gauteng, 2189, South Africa",N/A,N/A,2189
22854,Openserve Property,-23.29,29.98,"Ha-nthabalala, South Africa",Ha-nthabalala,N/A,
2330,Openserve Property,-28.6,20.34,"Augrabies Falls National Park, South Africa",Augrabies Falls National Park,N/A,
20434,Openserve Property,-27.39,23.43,"Seoding, South Africa",Seoding,N/A,
15615,Openserve Property,-23,30.63,"Mavambe, South Africa",Mavambe,N/A,
3502,Openserve Property,-26.6,30.08,"unnamed road, Camden, Msukaligwa, South Africa",Msukaligwa,Camden,N/A
23562,Openserve Property,-31.58,28.88,"unnamed road, Nyandeni Ward 9, Nyandeni Local Municipality, South Africa",Nyandeni Local Municipality,Nyandeni Ward 9,N/A
129145,Openserve Property,-34.17,21.99,"Street, Mossdustria, South Africa",Mossdustria,N/A,
27838,Openserve Property,-31.13,28.57,"Elundini Ward 6, Elundini Local Municipality, Joe Gqabi District Municipality, South Africa",Elundini Local Municipality,Elundini Ward 6,N/A
15428,Openserve Property,-23.33,29.97,"Ha-mamphagi, South Africa",Ha-mamphagi,N/A,
15412,Openserve Property,-30.39,23.1,"Kareeberg Ward 3, Kareeberg Local Municipality, Pixley ka Seme District Municipality, South Africa",Kareeberg Local Municipality,Kareeberg Ward 3,N/A
28662,Openserve Property,-32.04,27.7,"Null, Kwampotulo, South Africa",Kwampotulo,N/A,
23703,Openserve Property,-27.28,31.35,"Whitecliff, South Africa",Whitecliff,N/A,
4242,Openserve Property,-29.5,25.52,"S284, Kopanong Ward 7, Kopanong Local Municipality, South Africa",Kopanong Local Municipality,Kopanong Ward 7,N/A
19436,Openserve Property,-28.12,16.89,"unnamed road, Richtersveld Ward 1, Richtersveld Local Municipality, South Africa",Richtersveld Local Municipality,Richtersveld Ward 1,N/A
5264,Openserve Property,-29.61,30.27,"Street, Zayeka, South Africa",Zayeka,N/A,
6735,Openserve Property,-25.67,31.53,"Nkomazi Nu, South Africa",Nkomazi Nu,N/A,
330,Openserve Property,-28.59,31.4,"Symmonds Street, Melmoth, South Africa",Melmoth,N/A,
41839,Openserve Property,-29.71,30.67,"3 95052 Street, Harare A, South Africa",Harare A,N/A,
2746,Openserve Property,-22.42,29.51,"D2692, Musina Ward 2, Musina Local Municipality, South Africa",Musina Local Municipality,Musina Ward 2,N/A
18080,Openserve Property,-25.14,25.96,"unnamed road, Ramotshere Moiloa Ward 3, Ramotshere Moiloa Local Municipality, South Africa",Ramotshere Moiloa Local Municipality,Ramotshere Moiloa Ward 3,N/A
1788,Openserve Property,-24.32,29.3,"Lepele-nkumpi Nu, South Africa",Lepele-nkumpi Nu,N/A,
1871,Openserve Property,-29.04,29.79,"Wembesi B, South Africa",Wembesi B,N/A,
815,Openserve Property,-33.38,18.9,"unnamed road, Swartland Ward 12, Swartland Local Municipality, 7307, South Africa",Swartland Local Municipality,Swartland Ward 12,7307
439,Openserve Property,-29.59,31.16,"16 Cycad Drive, Ethekwini Nu, South Africa",Ethekwini Nu,N/A,
